indicator_id,source_code,country_iso3,year,value,plot
151,WB_WDI_SE_PRE_ENRR,YEM,2005,0.9713,GER
151,WB_WDI_SE_PRE_ENRR,AFE,2006,21.282681,GER
151,WB_WDI_SE_PRE_ENRR,AFW,2006,21.340561,GER
151,WB_WDI_SE_PRE_ENRR,ARB,2006,18.142179,GER
151,WB_WDI_SE_PRE_ENRR,CSS,2006,82.812477,GER
151,WB_WDI_SE_PRE_ENRR,CEB,2006,72.372238,GER
151,WB_WDI_SE_PRE_ENRR,EAR,2006,31.53582,GER
151,WB_WDI_SE_PRE_ENRR,EAS,2006,44.94101,GER
151,WB_WDI_SE_PRE_ENRR,EAP,2006,42.506359,GER
151,WB_WDI_SE_PRE_ENRR,TEA,2006,42.386929,GER
151,WB_WDI_SE_PRE_ENRR,EMU,2006,99.583687,GER
151,WB_WDI_SE_PRE_ENRR,ECS,2006,66.441612,GER
151,WB_WDI_SE_PRE_ENRR,ETH,2012,17.29735,GER
151,WB_WDI_SE_PRE_ENRR,FIN,2012,69.952187,GER
151,WB_WDI_SE_PRE_ENRR,FRA,2012,104.962242,GER
151,WB_WDI_SE_PRE_ENRR,GHA,2012,112.291161,GER
151,WB_WDI_SE_PRE_ENRR,CYP,2014,77.109581,GER
151,WB_WDI_SE_PRE_ENRR,CZE,2014,104.425148,GER
151,WB_WDI_SE_PRE_ENRR,DNK,2014,96.337723,GER
151,WB_WDI_SE_PRE_ENRR,DMA,2014,91.109879,GER
151,WB_WDI_SE_PRE_ENRR,DOM,2014,47.86211,GER
151,WB_WDI_SE_PRE_ENRR,ECU,2014,72.621033,GER
151,WB_WDI_SE_PRE_ENRR,EGY,2014,29.919741,GER
151,WB_WDI_SE_PRE_ENRR,SLV,2014,65.347458,GER
151,WB_WDI_SE_PRE_ENRR,TSA,2019,63.001751,GER
151,WB_WDI_SE_PRE_ENRR,SSF,2019,27.439911,GER
151,WB_WDI_SE_PRE_ENRR,SSA,2019,27.437189,GER
151,WB_WDI_SE_PRE_ENRR,TSS,2019,27.439911,GER
151,WB_WDI_SE_PRE_ENRR,UMC,2019,77.300079,GER
151,WB_WDI_SE_PRE_ENRR,WLD,2019,60.803982,GER
151,WB_WDI_SE_PRE_ENRR,ALB,2019,75.75499,GER
151,WB_WDI_SE_PRE_ENRR,SSA,2004,19.184151,GER
151,WB_WDI_SE_PRE_ENRR,TSS,2004,19.188101,GER
151,WB_WDI_SE_PRE_ENRR,UMC,2004,44.221298,GER
151,WB_WDI_SE_PRE_ENRR,WLD,2004,35.727901,GER
151,WB_WDI_SE_PRE_ENRR,ALB,2004,49.662521,GER
151,WB_WDI_SE_PRE_ENRR,DZA,2004,4.72231,GER
151,WB_WDI_SE_PRE_ENRR,ARG,2004,62.300331,GER
151,WB_WDI_SE_PRE_ENRR,ABW,2004,98.746521,GER
151,WB_WDI_SE_PRE_ENRR,RWA,2014,16.585501,GER
151,WB_WDI_SE_PRE_ENRR,WSM,2014,33.722172,GER
151,WB_WDI_SE_PRE_ENRR,STP,2014,39.014751,GER
151,WB_WDI_SE_PRE_ENRR,SAU,2014,17.627729,GER
151,WB_WDI_SE_PRE_ENRR,SEN,2014,15.07742,GER
151,WB_WDI_SE_PRE_ENRR,SRB,2014,59.164688,GER
151,WB_WDI_SE_PRE_ENRR,SYC,2014,96.959999,GER
151,WB_WDI_SE_PRE_ENRR,SXM,2014,78.148399,GER
151,WB_WDI_SE_PRE_ENRR,SVK,2014,91.633942,GER
151,WB_WDI_SE_PRE_ENRR,ALB,2013,81.558342,GER
151,WB_WDI_SE_PRE_ENRR,ATG,2013,93.549553,GER
151,WB_WDI_SE_PRE_ENRR,ARG,2013,72.249573,GER
151,WB_WDI_SE_PRE_ENRR,ABW,2013,105.337807,GER
151,WB_WDI_SE_PRE_ENRR,AUS,2013,108.859863,GER
151,WB_WDI_SE_PRE_ENRR,AUT,2013,100.188477,GER
151,WB_WDI_SE_PRE_ENRR,AZE,2013,25.73653,GER
151,WB_WDI_SE_PRE_ENRR,NLD,2018,88.995399,GER
151,WB_WDI_SE_PRE_ENRR,NZL,2018,94.15686,GER
151,WB_WDI_SE_PRE_ENRR,NIC,2018,70.794258,GER
151,WB_WDI_SE_PRE_ENRR,NER,2018,8.0477,GER
151,WB_WDI_SE_PRE_ENRR,NGA,2018,23.45575,GER
151,WB_WDI_SE_PRE_ENRR,MKD,2018,41.8307,GER
151,WB_WDI_SE_PRE_ENRR,NOR,2018,96.002991,GER
151,WB_WDI_SE_PRE_ENRR,OMN,2018,52.214191,GER
151,WB_WDI_SE_PRE_ENRR,PAK,2018,83.142418,GER
151,WB_WDI_SE_PRE_ENRR,CAF,2017,2.92555,GER
151,WB_WDI_SE_PRE_ENRR,TCD,2017,0.74185,GER
151,WB_WDI_SE_PRE_ENRR,CHL,2017,81.763672,GER
151,WB_WDI_SE_PRE_ENRR,CHN,2017,84.797821,GER
151,WB_WDI_SE_PRE_ENRR,COM,2017,20.41787,GER
151,WB_WDI_SE_PRE_ENRR,CRI,2017,80.548157,GER
151,WB_WDI_SE_PRE_ENRR,CIV,2017,8.15109,GER
151,WB_WDI_SE_PRE_ENRR,TGO,2017,21.34416,GER
151,WB_WDI_SE_PRE_ENRR,TUR,2017,32.739269,GER
151,WB_WDI_SE_PRE_ENRR,TCA,2017,89.7855,GER
151,WB_WDI_SE_PRE_ENRR,TUV,2017,78.17955,GER
151,WB_WDI_SE_PRE_ENRR,UGA,2017,14.40808,GER
151,WB_WDI_SE_PRE_ENRR,UKR,2017,84.711372,GER
151,WB_WDI_SE_PRE_ENRR,GBR,2017,106.387306,GER
151,WB_WDI_SE_PRE_ENRR,KWT,2013,77.379082,GER
151,WB_WDI_SE_PRE_ENRR,KGZ,2013,26.34639,GER
151,WB_WDI_SE_PRE_ENRR,LAO,2013,27.951214,GER
151,WB_WDI_SE_PRE_ENRR,LVA,2013,92.077377,GER
151,WB_WDI_SE_PRE_ENRR,LSO,2013,40.011589,GER
